"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
1;1;"65189";"Wiesbaden";"Mainzer Str.";"81"
3;3;"41453";"Neuss";"Hammfelddamm";"11"
5;5;"42853";"Remscheid";"Alleestr.";"11"
10;10;"69412";"Eberbach";"Klausenweg";"12"
12;12;"79108";"Freiburg";"Blankreutestr.";"1"
14;14;"89150";"Laichingen";"Gottlieb-Daimler-Straße";"19"
16;16;"21465";"Reinbek";"Hermann-Körner-Straße";"52"
26;26;"58313";"Herdecke";"Loerfeldstraße";"20"
29;29;"29439";"Lüchow";"Wendlandstraße";"1"
34;34;"22880";"Wedel";"Tinsdaler Weg";"183"
35;35;"35088";"Battenberg (Eder)";"Am Beerberg";"1"
44;44;"81245";"München";"August-Exter-Straße";"4"
45;45;"13581";"Berlin";"Brunsbütteler Damm";"165-173"
48;48;"51368";"Leverkusen";"Kaiser-Wilhelm-Allee Geb. K 56";""
55;55;"20253";"Hamburg";"Unnastraße";"48"
56;56;"81479";"München";"Herterichstr.";"1"
63;63;"92318";"Neumarkt";"Kerschensteinerstr.";"11-15"
64;64;"70734";"Fellbach";"Schorndorfer Str.";"32"
65;65;"63303";"Dreieich";"Landsteiner Str.";"3"
70;70;"";"";"";""
76;76;"55216";"Ingelheim am Rhein";"Binger Straße";"173"
79;79;"50858";"Köln";"Rheinische Allee";"11"
81;81;"90427";"Nürnberg";"Walter-Bouhon-Straße";"4"
83;83;"50226";"Frechen";"Alfred-Nobel-Str.";"5"
96;96;"50670";"Köln";"Gereonsmühlengasse";"1"
98;98;"87437";"Kempten";"Ostbahnhofstraße";"15"
99;99;"71083";"Herrenberg";"Benzstr.";"25"
105;105;"63762";"Großostheim";"Bauhofstr.";"16"
108;108;"88525";"Hailtingen";"Offinger Str.";"7"
114;114;"63329";"Egelsbach";"Kurt-Schumacher-Ring";"15-17"
121;121;"12277";"Berlin";"Nunsdorfer Ring";"19"
122;122;"22335";"Hamburg";"Weg beim Jäger";"214"
124;124;"76227";"Karlsruhe";"Ottostr.";"24"
138;138;"78136";"Schonach";"Hauptstr.";"3"
139;139;"31840";"Hessisch Oldendorf";"Marktplatz";"5"
152;152;"53474";"Bad Neuenahr";"Ringener Straße";"45"
154;154;"61138";"Niederdorfelden";"Herzbergstraße";"3"
