"ID";"Hersteller";"Postleitzahl";"Stadt";"Straße und Hausnummer"
1;"AbbVie Deutschland GmbH & Co. KG";"65189";"Wiesbaden";"Mainzer Str. 81"
3;"3M Medica Zweigniederlassung 3M Deutschland GmbH";"41453";"Neuss";"Hammfelddamm 11"
5;"aar Pharma GmbH u. Co. KG";"42853";"Remscheid";"Alleestr. 11"
10;"AktivPharma GmbH & Co. KG";"69412";"Eberbach";"Klausenweg 12"
12;"Alcon Pharma GmbH";"79108";"Freiburg";"Blankreutestr. 1"
14;"ALIUD PHARMA® GmbH";"89150";"Laichingen";"Gottlieb-Daimler-Straße 19"
16;"Allergopharma GmbH & Co. KG";"21465";"Reinbek";"Hermann-Körner-Straße 52"
26;"Ardeypharm GmbH";"58313";"Herdecke";"Loerfeldstraße 20"
29;"Artesan Pharma  GmbH & Co. KG";"29439";"Lüchow";"Wendlandstraße 1"
34;"AstraZeneca GmbH";"22880";"Wedel";"Tinsdaler Weg 183"
35;"athenstaedt GmbH & Co KG";"35088";"Battenberg (Eder)";"Am Beerberg 1"
44;"BASTIAN-Werk GmbH";"81245";"München";"August-Exter-Straße 4"
45;"Bausch & Lomb GmbH Vision Care";"13581";"Berlin";"Brunsbütteler Damm 165-173"
48;"Bayer Vital GmbH  Geschäftsbereich Pharma";"51368";"Leverkusen";""
55;"Beiersdorf AG";"20253";"Hamburg";"Unnastraße 48"
56;"bene-Arzneimittel GmbH";"81479";"München";"Herterichstr. 1"
62;"biomo pharma GmbH";"53773";"Hennef";"Josef-Dietzgen-Str. 3"
63;"Bionorica SE";"92318";"Neumarkt";"Kerschensteinerstr. 11-15"
64;"biosyn Arzneimittel GmbH";"70734";"Fellbach";"Schorndorfer Str. 32"
65;"Biotest Pharma GmbH";"63303";"Dreieich";"Landsteiner Str. 3"
70;"bittermedizin Arzneimittel Vertriebs GmbH";"";"";""
76;"Boehringer Ingelheim Pharma GmbH & Co. KG";"55216";"Ingelheim am Rhein";"Binger Straße 173"
79;"Bolder Arzneimittel GmbH & Co. KG";"50858";"Köln";"Rheinische Allee 11"
81;"Apotheker Walter Bouhon GmbH";"90427";"Nürnberg";"Walter-Bouhon-Straße 4"
83;"Optimed Pharma GmbH";"50226";"Frechen";"Alfred-Nobel-Str. 5"
96;"Cassella-med GmbH & Co. KG";"50670";"Köln";"Gereonsmühlengasse 1"
98;"Cefak KG";"87437";"Kempten";"Ostbahnhofstraße 15"
99;"Omega Pharma Deutschland GmbH";"71083";"Herrenberg";"Benzstr. 25"
105;"Alcon Pharma GmbH Geschäftsbereich Vision Care";"63762";"Großostheim";"Bauhofstr. 16"
108;"Combustin pharmazeutische Präparate GmbH";"88525";"Hailtingen";"Offinger Str. 7"
114;"delta pronatura Dr. Krauss & Dr. Beckmann KG";"63329";"Egelsbach";"Kurt-Schumacher-Ring 15-17"
121;"Dentinox Gesellschaft für pharm. Präparate Lenk & Schuppan KG";"12277";"Berlin";"Nunsdorfer Ring 19"
122;"Desitin Arzneimittel GmbH";"22335";"Hamburg";"Weg beim Jäger 214"
124;"DHU-Arzneimittel GmbH & Co. KG";"76227";"Karlsruhe";"Ottostr. 24"
138;"Schwarzwald-Apotheke Schonach Dr. Dirk Häfner";"78136";"Schonach";"Hauptstr. 3"
139;"Dreluso Pharmazeutika Dr. Elten & Sohn GmbH";"31840";"Hessisch Oldendorf";"Marktplatz 5"
152;"Eifelfango, Chem.-Pharm. Werke GmbH & Co. KG";"53474";"Bad Neuenahr";"Ringener Straße 45"
154;"Engelhard Arzneimittel GmbH & Co.KG";"61138";"Niederdorfelden";"Herzbergstraße 3"
158;"Eurim-Pharm Arzneimittel GmbH";"83416";"Saaldorf-Surheim";"EurimPark 8"
159;"Dr. Falk Pharma GmbH";"79108";"Freiburg";"Leinenweberstr. 5"
160;"FARCO-PHARMA GmbH";"50670";"Köln";"Gereonsmühlengasse 1-11"
164;"Febena Pharma GmbH";"50668";"Köln";"Domstraße 79 A"
165;"W. Feldhoff & Comp. Arzneimittel GmbH";"99867";"Gotha";"Hans-C.-Wirz-Str. 2"
168;"Ferring Arzneimittel GmbH";"24103";"Kiel";"Fabrikstr. 7"
170;"GlaxoSmithKline Consumer Healthcare GmbH & Co. KG - Consumer Products";"80339";"München";"Barthstr. 4"
175;"FRESENIUS KABI Deutschland GmbH";"61352";"Bad Homburg";"Else-Kröner-Straße 1"
185;"Eduard Gerlach GmbH";"32312";"Lübbecke";"Bäckerstraße 4-8"
189;"GlaxoSmithKline GmbH & Co. KG";"81675";"München";"Prinzregentenplatz 9"
190;"Glenwood GmbH";"81925";"München";"Arabellastraße 17"
194;"Grünenthal GmbH";"52078";"Aachen";"Zieglerstr. 6"
197;"HAL ALLERGIE GMBH";"40213";"Düsseldorf";"Poststr. 5-6"
199;"Hanosan GmbH Pharmazeutische Fabrik";"30826";"Garbsen";"Hanosanstr. 1"
201;"Paul Hartmann AG";"89522";"Heidenheim";"Paul-Hartmann-Straße 12"
206;"Biolog. Heilmittel Heel GmbH";"76532";"Baden-Baden";"Dr.-Reckeweg-Str. 2-4"
214;"HENNIG ARZNEIMITTEL GmbH & Co KG";"65439";"Flörsheim";"Liebigstraße 1-2"
215;"Henning Berlin Arzneimittel GmbH";"10785";"Berlin";"Potsdamer Straße 8"
219;"Almirall Hermal GmbH";"21465";"Reinbek";"Scholtzstr. 3"
223;"Heumann Pharma GmbH & Co. Generica KG";"90449";"Nürnberg";"Südwestpark 50"
224;"Hevert-Arzneimittel GmbH & Co KG";"55569";"Nussbaum";"In der Weiherwiese 1"
225;"Hexal AG";"83607";"Holzkirchen";"Industriestraße 25"
226;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG";"10707";"Berlin";"Kurfürstendamm 178/179"
231;"Hormosan Pharma GmbH";"60314";"Frankfurt am Main";"Hanauer Landstraße 139-143"
236;"ICHTHYOL-GESELLSCHAFT Cordes, Hermanni & Co. (GmbH & Co.) KG";"22335";"Hamburg";"Sportallee 85"
240;"InfectoPharm Arzneimittel u. Consilium GmbH";"64646";"Heppenheim";"Von-Humboldt-Str. 1"
241;"Zambon GmbH";"10707";"Berlin";"Lietzenburger Str. 99"
246;"Intersero GmbH";"65396";"Walluf";"Am Klingenweg 13"
248;"ISO-Arzneimittel GmbH & Co.KG";"76275";"Ettlingen";"Bunsenstr. 6-10"
249;"Servier Deutschland GmbH";"80687";"München";"Elsenheimerstraße 53"
251;"Janssen-Cilag GmbH";"41470";"Neuss";"Johnson & Johnson Platz 1"
255;"DR. KADE Pharmazeutische Fabrik GmbH";"12277";"Berlin";"Rigistraße 2"
259;"Kattwiga Arzneimittel GmbH";"48529";"Nordhorn";"Zur Grenze 30"
262;"PUREN Pharma GmbH & Co. KG";"81829";"München";"Willy-Brandt-Alle 2"
265;"MCM Klosterfrau Vertriebsgesellschaft mbH";"50670";"Köln";"Gereonsmühlengasse 1-11"
267;"Dr. Franz Köhler Chemie GmbH";"64625";"Bensheim";"Werner-von-Siemens-Str. 14-28"
268;"Köhler Pharma GmbH";"64665";"Alsbach";"Neue Bergstraße 3-7"
270;"Kreussler & Co. GmbH, Chemische Fabrik";"65203";"Wiesbaden";"Rheingaustrasse 87-93"
271;"Krewel Meuselbach GmbH";"53783";"Eitorf";"Krewelstrasse 2"
277;"Laves-Arzneimittel GmbH";"30952";"Ronnenberg";"Barbarastraße 14"
279;"Zentiva Pharma GmbH";"10785";"Berlin";"Linkstr. 2"
281;"Lilly Deutschland GmbH";"61352";"Bad Homburg";"Werner-Reimers-Straße 2-4"
282;"Linden Arzneimittel-Vertrieb GmbH";"35452";"Heuchelheim";"Rodheimer Straße 90"
288;"Lohmann & Rauscher GmbH & Co. KG";"56567";"Neuwied";"Irlicher Straße 55"
289;"Lomapharm, Rudolf Lohmann GmbH KG";"31860";"Emmerthal";"Langes Feld 5"
290;"Daiichi Sankyo Deutschland GmbH";"81379";"München";"Zielstattstr. 48"
304;"Dr. Gerhard Mann, Chem.-pharm. Fabrik GmbH";"13581";"Berlin";"Brunsbütteler Damm 165-173"
306;"Mauermann-Arzneimittel KG";"82343";"Pöcking";"Heinrich-Knote-Straße 2"
310;"Dr. Loges + Co GmbH";"21423";"Winsen (Luhe)";"Schützenstraße 5"
313;"Medice Arzneimittel Pütter GmbH & Co. KG";"58638";"Iserlohn";"Kuhloweg 37"
318;"medac Gesellschaft für klinische Spezialpräparate mbH";"22880";"Wedel";"Theaterstraße 6"
323;"Recordati Pharma GmbH";"89075";"Ulm";"Eberhard-Finckh-Str. 55"
325;"Merz Pharmaceuticals GmbH";"60318";"Frankfurt a. M.";"Eckenheimer Landstraße 100"
326;"meta Fackler Arzneimittel GmbH";"31832";"Springe";"Philipp-Reis-Straße 3"
328;"Mickan Arzneimittel GmbH";"76189";"Karlsruhe";"Industriestr. 5"
334;"MSD Sharp & Dohme GmbH";"85540";"Haar";"Lindenplatz 1"
336;"Mucos Pharma GmbH & Co. KG";"82008";"Unterhaching";"Ottobrunner Str. 41"
337;"Chemisch-Pharmazeutische Fabrik Göppingen, Carl Müller Apotheker, GmbH u. Co. KG";"73033";"Göppingen";"Bahnhofstr. 33-35 + 40"
339;"Mundipharma GmbH";"60549";"Frankfurt am Main";"De-Saint-Exupery-Str. 10"
345;"Nestle Health Science (Deutschland) GmbH";"60528";"Frankfurt";"Lyoner Str. 23"
346;"neuraxpharm Arzneimittel GmbH";"40764";"Langenfeld";"Elisabeth-Selbert-Straße 23"
348;"Guerbet GmbH";"65843";"Sulzbach/ Taunus";"Otto-Volger-Straße 11"
351;"Norgine GmbH";"35435";"Wettenberg";"Im Westpark 14"
354;"Novo Nordisk Pharma GmbH";"55127";"Mainz";"Brucknerstr. 1"
359;"Optima Pharmazeutische GmbH";"85399";"Halbergmoos";"Ludwigstr. 49"
360;"OPTOSOL, Chemische Produkte GmbH";"83714";"Miesbach";"Oskar-von-Miller-Str. 6"
368;"Pascoe pharmazeutische Präparate GmbH";"35394";"Giessen";"Schiffenberger Weg 55"
376;"Pfizer Pharma GmbH";"10785";"Berlin";"Linkstr. 10"
377;"Dr. Pfleger Arzneimittel GmbH";"96052";"Bamberg";"Dr.-Robert-Pfleger-Str. 12"
380;"Johnson & Johnson Vision AMO Germany GmbH";"76275";"Ettlingen";"Rudolf-Plank-Str. 31"
397;"Pharno-Wedropharm GmbH";"21244";"Buchholz";"Zunftstr. 18"
398;"PHÖNIX Laboratorium GmbH";"71149";"Bondorf";"Benzstraße 10"
401;"G. Pohl-Boskamp GmbH & Co. KG";"25551";"Hohenlockstedt";"Kieler Str. 11"
403;"Lundbeck GmbH";"20457";"Hamburg";"Ericusspitze 2"
404;"Protina Pharmazeutische Gesellschaft mbH";"85737";"Ismaning";"Adalperostraße 37"
406;"ratiopharm GmbH";"89079";"Ulm";"Graf-Arco-Str. 3"
408;"Cesra Arzneimittel GmbH & Co. KG";"76532";"Baden-Baden";"Braunmattstr. 20"
412;"Repha GmbH";"30855";"Langenhagen";"Alt-Godshorn 87"
413;"Retterspitz GmbH";"90571";"Schwaig";"Laufer Str. 17-19"
419;"Dr. Ritsert Pharma GmbH u. Co KG";"69412";"Eberbach";"Klausenweg 12"
420;"Pierre Fabre Pharma GmbH";"79111";"Freiburg";"Jechtinger Str. 13"
421;"Robugen GmbH, Pharmazeutische Fabrik";"73730";"Esslingen";"Alleenstrasse 22-26"
422;"Roche Pharma AG";"79639";"Grenzach-Wyhlen";"Emil-Barell-Straße 1"
426;"roha arzneimittel GmbH";"28355";"Bremen";"Rockwinkeler Heerstraße 100"
431;"S & K Pharma Schumann und Kohl GmbH";"15562";"Rüdersdorf bei Berlin";"Maienbergstraße 10-12"
432;"Fatol Arzneimittel GmbH";"66578";"Schiffweiler";""
443;"Schaper & Brümmer GmbH & Co. KG";"38259";"Salzgitter";"Bahnhofstr. 35"
444;"ALK-Abelló Arzneimittel GmbH";"22763";"Hamburg";"Griegstraße, Haus 25 75"
452;"Schuck GmbH";"90571";"Schwaig b. Nürnberg";"Industriestr. 11"
453;"Schülke & Mayr GmbH";"22851";"Norderstedt";"Robert-Koch-Str. 2"
459;"Schwarzwälder Natur-Heilmittel";"93183";"Kallmünz";"Marktplatz 4"
462;"Serag-Wiessner GmbH & Co. KG";"95119";"Naila";"Zum Kugelfang 8-12"
466;"SIEMENS & Co";"56130";"Bad Ems";"Arzbacher Str. 78"
471;"Bristol-Myers Squibb GmbH & Co. KGaA";"80636";"München";"Arnulfstr. 29"
474;"Steierl-Pharma GmbH";"82211";"Herrsching";"Mühlfelder Str. 48"
477;"Stiefel GmbH & Co. KG";"80339";"München";"Theresienhöhe 11"
480;"Strath-Labor GmbH";"93093";"Donaustauf";"Lessingstr. 18"
481;"Strathmann GmbH & Co. KG";"22459";"Hamburg";"Sellhopsweg 1"
482;"Pharma Stulln GmbH";"92551";"Stulln";"Werksstr. 3"
