"INTERACTIONCLASSID1";"INTERACTIONCLASSID2";"SEVERITY";"LIKELIHOOD"
1;12317;"mittelschwer";"Begrenzt untersucht."
4;450;"mittelschwer";"Begrenzt untersucht."
4;10205;"geringfügig";"Nicht erwiesen"
5;148;"Vorsicht";"Begrenzt untersucht."
5;190;"Vorsicht";"Begrenzt untersucht."
5;10284;"Vorsicht";"Gut untersucht."
5;12205;"Vorsicht";"Sehr gut untersucht."
7;9;"mittelschwer";"Gut untersucht."
7;23;"mittelschwer";"Gut untersucht."
7;24;"mittelschwer";"Gut untersucht."
7;25;"schwerwiegend";"Gut untersucht."
7;31;"mittelschwer";"Gut untersucht."
7;35;"geringfügig";"Begrenzt untersucht."
7;48;"mittelschwer";"Gut untersucht."
7;189;"mittelschwer";"Gut untersucht."
7;191;"schwerwiegend";"Begrenzt untersucht."
7;10956;"Vorsicht";"Begrenzt untersucht."
7;12157;"schwerwiegend";"Begrenzt untersucht."
7;12485;"mittelschwer";"Nicht erwiesen"
7;12581;"mittelschwer";"Nicht erwiesen"
7;12685;"mittelschwer";"Nicht erwiesen"
7;12803;"mittelschwer";"Begrenzt untersucht."
8;145;"mittelschwer";"Nicht erwiesen"
8;146;"geringfügig";"Begrenzt untersucht."
8;201;"mittelschwer";"Begrenzt untersucht."
8;10284;"Vorsicht";"Gut untersucht."
8;12205;"mittelschwer";"Sehr gut untersucht."
9;27;"mittelschwer";"Begrenzt untersucht."
9;37;"mittelschwer";"Gut untersucht."
9;53;"mittelschwer";"Begrenzt untersucht."
9;93;"schwerwiegend";"Sehr gut untersucht."
9;115;"mittelschwer";"Begrenzt untersucht."
9;122;"schwerwiegend";"Gut untersucht."
9;128;"mittelschwer";"Gut untersucht."
9;149;"mittelschwer";"Gut untersucht."
9;155;"schwerwiegend";"Gut untersucht."
9;177;"geringfügig";"Gut untersucht."
9;10453;"mittelschwer";"Begrenzt untersucht."
9;10622;"mittelschwer";"Gut untersucht."
9;10694;"schwerwiegend";"Begrenzt untersucht."
9;11142;"Vorsicht";"Begrenzt untersucht."
9;11374;"mittelschwer";"Begrenzt untersucht."
9;12105;"mittelschwer";"Begrenzt untersucht."
9;12205;"mittelschwer";"Begrenzt untersucht."
9;12254;"geringfügig";"Begrenzt untersucht."
9;12296;"geringfügig";"Begrenzt untersucht."
9;12311;"mittelschwer";"Gut untersucht."
9;12333;"geringfügig";"Gut untersucht."
9;12334;"schwerwiegend";"Gut untersucht."
9;12581;"mittelschwer";"Begrenzt untersucht."
9;12815;"mittelschwer";"Begrenzt untersucht."
10;69;"mittelschwer";"Begrenzt untersucht."
10;10316;"mittelschwer";"Begrenzt untersucht."
10;10353;"mittelschwer";"Begrenzt untersucht."
10;10398;"Vorsicht";"Begrenzt untersucht."
10;11129;"Vorsicht";"Begrenzt untersucht."
10;12203;"mittelschwer";"Gut untersucht."
11;9;"mittelschwer";"Begrenzt untersucht."
11;37;"geringfügig";"Gut untersucht."
11;53;"geringfügig";"Gut untersucht."
11;94;"geringfügig";"Begrenzt untersucht."
11;109;"geringfügig";"Begrenzt untersucht."
11;125;"geringfügig";"Begrenzt untersucht."
11;10008;"mittelschwer";"Gut untersucht."
11;10353;"geringfügig";"Begrenzt untersucht."
13;186;"Vorsicht";"Begrenzt untersucht."
13;207;"mittelschwer";"Begrenzt untersucht."
13;10014;"mittelschwer";"Begrenzt untersucht."
13;10075;"Vorsicht";"Begrenzt untersucht."
13;10353;"Vorsicht";"Begrenzt untersucht."
13;10789;"Vorsicht";"Begrenzt untersucht."
13;12660;"schwerwiegend";"Nicht erwiesen"
16;20;"mittelschwer";"Begrenzt untersucht."
16;24;"mittelschwer";"Begrenzt untersucht."
16;28;"mittelschwer";"Begrenzt untersucht."
16;37;"mittelschwer";"Gut untersucht."
16;69;"mittelschwer";"Gut untersucht."
16;71;"schwerwiegend";"Gut untersucht."
16;75;"schwerwiegend";"Sehr gut untersucht."
16;108;"mittelschwer";"Nicht erwiesen"
16;109;"schwerwiegend";"Gut untersucht."
16;138;"mittelschwer";"Begrenzt untersucht."
16;141;"mittelschwer";"Begrenzt untersucht."
16;159;"mittelschwer";"Nicht erwiesen"
16;220;"mittelschwer";"Nicht erwiesen"
16;311;"mittelschwer";"Gut untersucht."
16;368;"mittelschwer";"Nicht erwiesen"
16;409;"schwerwiegend";"Begrenzt untersucht."
16;491;"schwerwiegend";"Nicht erwiesen"
16;10175;"schwerwiegend";"Begrenzt untersucht."
16;10438;"mittelschwer";"Nicht erwiesen"
16;12144;"mittelschwer";"Nicht erwiesen"
16;12243;"schwerwiegend";"Gut untersucht."
16;12261;"mittelschwer";"Begrenzt untersucht."
18;22;"mittelschwer";"Begrenzt untersucht."
18;23;"mittelschwer";"Begrenzt untersucht."
18;30;"schwerwiegend";"Sehr gut untersucht."
18;43;"mittelschwer";"Begrenzt untersucht."
18;69;"mittelschwer";"Gut untersucht."
18;70;"schwerwiegend";"Nicht erwiesen"
18;76;"schwerwiegend";"Begrenzt untersucht."
