"ID";"COMPANYTYPECATALOGID";"COMPANYTYPECODE";"SHORTNAME";"NAME"
1;100;"P";"AbbVie Deutschland GmbH & Co. KG";"AbbVie Deutschland GmbH & Co. KG"
3;100;"P";"3M Medica";"3M Medica Zweigniederlassung 3M Deutschland GmbH"
5;100;"P";"aar Pharma";"aar Pharma GmbH u. Co. KG"
10;100;"P";"AktivPharma";"AktivPharma GmbH & Co. KG"
12;100;"P";"Alcon";"Alcon Pharma GmbH"
14;100;"P";"ALIUD";"ALIUD PHARMA® GmbH"
16;100;"P";"Allergopharma";"Allergopharma GmbH & Co. KG"
26;100;"P";"Ardeypharm";"Ardeypharm GmbH"
29;100;"P";"Artesan";"Artesan Pharma  GmbH & Co. KG"
34;100;"P";"AstraZeneca GmbH";"AstraZeneca GmbH"
35;100;"P";"athenstaedt, Battenberg (Eder)";"athenstaedt GmbH & Co KG"
44;100;"P";"BASTIAN";"BASTIAN-Werk GmbH"
45;100;"P";"Bausch & Lomb GmbH";"Bausch & Lomb GmbH Vision Care"
48;100;"P";"Bayer Vital";"Bayer Vital GmbH  Geschäftsbereich Pharma"
55;100;"P";"Beiersdorf";"Beiersdorf AG"
56;100;"P";"bene-Arzneimittel";"bene-Arzneimittel GmbH"
62;100;"P";"biomo pharma GmbH";"biomo pharma GmbH"
63;100;"P";"Bionorica SE";"Bionorica SE"
64;100;"P";"biosyn";"biosyn Arzneimittel GmbH"
65;100;"P";"Biotest";"Biotest Pharma GmbH"
70;100;"P";"bittermedizin";"bittermedizin Arzneimittel Vertriebs GmbH"
76;100;"P";"Boehringer Ingelheim Pharma GmbH & Co. KG";"Boehringer Ingelheim Pharma GmbH & Co. KG"
79;100;"P";"Bolder";"Bolder Arzneimittel GmbH & Co. KG"
81;100;"P";"Bouhon";"Apotheker Walter Bouhon GmbH"
83;100;"P";"Optimed";"Optimed Pharma GmbH"
96;100;"P";"Cassella-med";"Cassella-med GmbH & Co. KG"
98;100;"P";"Cefak";"Cefak KG"
