"ID";"COMPANYID";"SEQNO";"CONTACTNAME1";"CONTACTNAME2";"COUNTRYCATALOGID";"COUNTRYCODE";"ZIP";"CITY";"STREET";"STREETNUMBER";"POBZIP";"POBCITY";"POBNUMBER";"ADDRESSTYPECATALOGID";"ADDRESSTYPECODE"
1;1;1;"AbbVie Deutschland GmbH & Co. KG";"";101;"DE";"65189";"Wiesbaden";"Mainzer Str.";"81";"65011";"Wiesbaden";"1167";202;"C"
3;3;1;"3M Medica Zweigniederlassung 3M Deutschland GmbH";"";101;"DE";"41453";"Neuss";"Hammfelddamm";"11";"";"";"";202;"C"
5;5;1;"aar Pharma GmbH u. Co. KG";"";101;"DE";"42853";"Remscheid";"Alleestr.";"11";"42801";"Remscheid";"100 136";202;"C"
10;10;1;"AktivPharma GmbH & Co. KG";"";101;"DE";"69412";"Eberbach";"Klausenweg";"12";"";"";"";202;"C"
12;12;1;"Alcon Pharma GmbH";"";101;"DE";"79108";"Freiburg";"Blankreutestr.";"1";"79123";"Freiburg";"100455";202;"C"
14;14;1;"ALIUD PHARMA® GmbH";"";101;"DE";"89150";"Laichingen";"Gottlieb-Daimler-Straße";"19";"89146";"Laichingen";"1380";202;"C"
16;16;1;"Allergopharma GmbH & Co. KG";"";101;"DE";"21465";"Reinbek";"Hermann-Körner-Straße";"52";"21462";"Reinbek";"";202;"C"
26;26;1;"Ardeypharm GmbH";"";101;"DE";"58313";"Herdecke";"Loerfeldstraße";"20";"58311";"Herdecke";"1153";202;"C"
29;29;1;"Artesan Pharma  GmbH & Co. KG";"";;"";"29439";"Lüchow";"Wendlandstraße";"1";"";"";"1142";202;"C"
34;34;1;"AstraZeneca GmbH";"";101;"DE";"22880";"Wedel";"Tinsdaler Weg";"183";"22876";"Wedel";"";202;"C"
35;35;1;"athenstaedt GmbH & Co KG";"";101;"DE";"35088";"Battenberg (Eder)";"Am Beerberg";"1";"";"";"";202;"C"
44;44;1;"BASTIAN-Werk GmbH";"";101;"DE";"81245";"München";"August-Exter-Straße";"4";"81201";"München";"600161";202;"C"
45;45;1;"Bausch & Lomb GmbH Vision Care";"";101;"DE";"13581";"Berlin";"Brunsbütteler Damm";"165-173";"";"";"";202;"C"
