"INTERACTIONCLASSID";"PRODUCTID"
1;3439
1;4553
1;7978
1;11975
1;13502
1;16561
1;31311
1;100152
1;113323
1;114177
1;114178
1;116495
1;116666
1;116667
1;118980
1;118981
1;119736
1;124585
1;205751
1;212879
1;223082
1;223243
1;228694
1;240883
1;245416
1;358869
1;361117
1;361274
1;367237
1;471962
1;486139
1;486585
1;486606
1;488135
1;496134
1;498085
1;499127
1;500535
1;506354
1;508079
1;508677
1;510607
1;515205
1;524182
1;524406
1;526351
1;530148
1;530791
1;530998
1;532049
1;532066
1;534062
1;534281
1;539230
1;543417
1;561722
1;810755
1;814858
1;822909
1;835413
1;863380
1;864914
1;877805
1;895591
1;906450
1;917886
1;970288
1;971292
1;1018444
1;1021235
1;1025306
1;1033475
1;1069413
1;1070286
1;1072576
1;1074699
1;1084299
1;1093137
1;1097742
1;1131295
1;1165125
1;1173441
1;1173480
1;1173515
1;1173520
1;1173644
1;1173805
4;7978
4;9585
4;10181
4;18312
4;18314
4;18315
4;110035
4;112627
4;112631
4;114634
4;114672
4;115105
4;116071
4;116156
4;118474
4;119387
4;119993
4;120192
4;121188
4;122352
4;123832
4;124025
4;124201
4;124202
4;124203
4;200466
4;223243
4;228694
4;262673
4;263278
4;263878
4;264490
4;280528
4;301078
4;301090
4;301092
4;301093
4;301094
4;301095
4;350660
4;354721
4;355084
4;355085
4;355086
4;355434
4;355778
4;356071
4;357209
4;358686
4;358947
4;361168
4;361169
4;361172
4;361174
4;361409
4;361844
4;363674
4;364405
4;367621
4;369779
4;476636
4;479867
4;481716
4;484203
4;485561
4;486139
4;488135
4;496464
4;496465
4;498085
4;499127
4;499681
4;500535
4;500716
4;501935
4;503829
4;503830
4;503831
4;504813
4;505299
4;506335
4;506336
4;506338
4;506339
4;506356
4;508677
4;510159
4;523039
4;524182
4;524406
4;524734
4;524735
4;525317
4;525789
4;525790
4;525791
4;525792
4;526351
4;527737
4;528005
4;530148
4;530998
4;531437
4;531438
4;534062
4;543417
4;544768
4;545562
4;546514
4;546516
4;546517
4;546711
4;810755
4;816550
4;838885
4;838894
4;861939
4;862504
4;863380
4;864914
4;872249
4;873969
4;874493
4;874495
4;875028
4;877805
4;891136
4;907178
4;917886
4;917903
4;919044
4;919045
4;919046
4;919047
4;954564
4;955308
4;955309
4;955310
4;956535
4;957048
4;970288
4;971292
4;988047
4;1018444
4;1021235
4;1021745
4;1021746
4;1021747
4;1022596
4;1025306
4;1029287
4;1029288
4;1029289
4;1029290
4;1029291
4;1033475
4;1056012
4;1072576
4;1084590
4;1084975
4;1085152
4;1085210
4;1085358
4;1097742
4;1104148
4;1162823
4;1165125
4;1173441
4;1173480
4;1173515
4;1173520
4;1173644
4;1173805
5;100552
5;217386
5;218981
5;234499
5;357513
5;357521
5;357522
5;357523
5;357564
5;357836
5;363102
5;472428
5;482501
5;488539
5;488540
5;505290
5;523197
5;523198
5;523201
5;523202
5;531979
5;533332
5;533333
5;533334
5;533335
5;533336
5;533337
5;797155
5;955614
7;516
7;518
7;3514
7;3980
7;3989
7;3990
7;4925
7;4926
7;4928
7;5751
7;7836
7;8826
7;8827
7;9420
7;9800
